library,code,name,Lab_L,Lab_a,Lab_b,C,M,Y,K,R,G,B
CMYK,PANTONE P 6-2 C,,80.0,-2,30,,,,,,,
CMYK,PANTONE P 6-3 C,,77.25490196078432,-2,34,,,,,,,
CMYK,PANTONE P 6-4 C,,73.72549019607844,-2,37,,,,,,,
CMYK,PANTONE P 6-5 C,,71.76470588235294,-2,42,,,,,,,
CMYK,PANTONE P 6-6 C,,68.23529411764706,-2,47,,,,,,,
CMYK,PANTONE P 6-7 C,,64.31372549019608,-2,54,,,,,,,
CMYK,PANTONE P 6-8 C,,59.21568627450981,-2,57,,,,,,,
CMYK,PANTONE P 6-9 C,,80.0,-2,25,,,,,,,
CMYK,PANTONE P 6-10 C,,76.86274509803923,-2,30,,,,,,,
CMYK,PANTONE P 6-11 C,,73.72549019607844,-2,33,,,,,,,
CMYK,PANTONE P 6-12 C,,69.80392156862744,-2,37,,,,,,,
CMYK,PANTONE P 6-13 C,,65.49019607843137,-2,42,,,,,,,
CMYK,PANTONE P 6-14 C,,61.1764705882353,-2,46,,,,,,,
CMYK,PANTONE P 6-15 C,,56.86274509803921,-2,51,,,,,,,
CMYK,PANTONE P 6-16 C,,52.156862745098046,-2,50,,,,,,,
CMYK,PANTONE P 7-1 C,,95.29411764705881,0,8,,,,,,,
CMYK,PANTONE P 7-2 C,,93.33333333333333,1,16,,,,,,,
CMYK,PANTONE P 7-3 C,,91.76470588235294,1,25,,,,,,,
CMYK,PANTONE P 7-4 C,,90.58823529411765,1,33,,,,,,,
CMYK,PANTONE P 7-5 C,,88.23529411764706,3,41,,,,,,,
CMYK,PANTONE P 7-6 C,,86.66666666666667,4,49,,,,,,,
CMYK,PANTONE P 7-7 C,,84.31372549019608,6,63,,,,,,,
CMYK,PANTONE P 7-8 C,,81.96078431372548,8,78,,,,,,,
CMYK,PANTONE P 7-9 C,,92.94117647058823,0,12,,,,,,,
CMYK,PANTONE P 7-10 C,,90.98039215686275,0,19,,,,,,,
CMYK,PANTONE P 7-11 C,,89.01960784313725,1,26,,,,,,,
CMYK,PANTONE P 7-12 C,,85.88235294117646,1,33,,,,,,,
CMYK,PANTONE P 7-13 C,,83.92156862745098,2,39,,,,,,,
CMYK,PANTONE P 7-14 C,,80.3921568627451,3,47,,,,,,,
CMYK,PANTONE P 7-15 C,,77.25490196078432,5,59,,,,,,,
CMYK,PANTONE P 7-16 C,,73.72549019607844,6,69,,,,,,,
CMYK,PANTONE P 8-1 C,,90.19607843137256,0,17,,,,,,,
CMYK,PANTONE P 8-2 C,,87.45098039215686,0,24,,,,,,,
CMYK,PANTONE P 8-3 C,,85.09803921568627,1,31,,,,,,,
